Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;Quelle
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Erdbeerhof Gebesee GmbH;Geldleistung;Spende;1500;Unterstützung Fachbereich BW, Schwerpunkt Marketing;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;EFE Elektronik-Forschungs- und Entwicklungs gesellschaft mbH;Geldleistung;Spende;2730;Stipendium für Fachbereich ET/IT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;EFE Elektronik-Forschungs- und Entwicklungs gesellschaft mbH;Geldleistung;Spende;1365;Stipendium für Fachbereich ET/IT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Sparkasse Jena-Saale- Holzland;Geldleistung;Spende;1500;20 jähriges Jubiläum FH Jena, Lehrpreis;Sparkassenstiftung Jena- Saale-Holzland;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Förderkreis d. FH Jena e.V.;Geldleistung;Spende;500;8. Jenaer Technologie Tag;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Förderkreis d. FH Jena e.V.;Geldleistung;Spende;500;Workshop bbmec 2011, Fachbereich MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Hella;Geldleistung;Spende;500;Förderung der Forschungstätigkeit, Prof. Fleck, Fachbereich ST;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Bio-Seehotel Zeulenroda GmbH & Co.KG;Geldleistung;Spende;3000;Unterstützung Fachbereich BW, Schwerpunkt Marketing;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Jenoptik;Geldleistung;Spende;2273,82;BEGEGNUNGEN Kultur-Technik-Wirtschaft;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Erfurt;2010;Bund Deutscher Architekten;Geldleistung;Sponsoring;2000;Vortragsreihe Architektenforum;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Erfurt;2011;Architektenkammer Thüringen;Geldleistung;Sponsoring;500;Vortragsreihe Architektenforum;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Nordhausen;2010;Kreissparkasse Nordhausen;Geldleistung;Spende;1000;Ausrichtung von Marketingaktivitäten;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Nordhausen;2011;Jaha Gastro GmbH;Geldleistung;Spende;800;Unterstützung der Bibliothek;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Schmalkalden;2010;Micro Epsilon;Sachleistung;Spende;1881,39;Unterstützung der Lehre, Wissenschaft und Forschung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Schmalkalden;2010;Hella;Geldleistung;Spende;500;Zuwendung für Förderung von Wissen- schaft und Forschung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;FH Schmalkalden;2011;DOAG Dienst- Leistungen GmbH;Geldleistung;Spende;5000;Zuwendung für Förde- ft und Forschung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
