Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Thüringen;Ernst Abbe Fachhochschule Jena;Dr. Ute Bergner;;VACOM Vakuum Komponenten & Messtechnik GmbH;;http://www.fh-jena.de/fhj/fhjena/de/fhj/hse/Gremien/hosrat/Seiten/Hochschulrat.aspx
Thüringen;Ernst Abbe Fachhochschule Jena;Dr. Fred Grunert;;MAZeT GmbH;;http://www.fh-jena.de/fhj/fhjena/de/fhj/hse/Gremien/hosrat/Seiten/Hochschulrat.aspx
Thüringen;Ernst Abbe Fachhochschule Jena;Peter Popp;;Carl Zeiss;Carl Zeiss Jena GmbH;http://www.fh-jena.de/fhj/fhjena/de/fhj/hse/Gremien/hosrat/Seiten/Hochschulrat.aspx
Thüringen;FH Erfurt;Herr Frank Belkner;;ERFURT Bildungszentrum GmbH;;http://www.fh-erfurt.de/fhe/fachhochschule/gremien/hochschulrat/
Thüringen;FH Erfurt;Herr Dr. Jan Kemper;;CFO Zalando GmbH;;http://www.fh-erfurt.de/fhe/fachhochschule/gremien/hochschulrat/
Thüringen;FH Nordhausen;Nadine Henkel;;EPC Technology GmbH;;http://www.fh-nordhausen.de/116.html
Thüringen;FH Schmalkalden;Siegbert Lapp;;Lapp Holding AG;;http://www.fh-schmalkalden.de/Hochschulrat.html
Thüringen;Hochschule für Musik Franz Liszt Weimar;Georg Krupp;Vorsitzender;Deutsche Bank;;https://www.hfm-weimar.de/348/
Thüringen;Hochschule für Musik Franz Liszt Weimar;Otto Michael Militzer;;MITEC Automotive AG;;https://www.hfm-weimar.de/348/
Thüringen;TU Ilmenau;Dr. Michael Mertin;;Jenoptik;;https://www.tu-ilmenau.de/gremien/hochschulrat/
Thüringen;TU Ilmenau;Dr. Edgar Most;;Deutsche Bank;;https://www.tu-ilmenau.de/gremien/hochschulrat/
Thüringen;Universität Erfurt;Wolfgang Kühnhold;;Lufthansa;Lufthansa AG;https://www.uni-erfurt.de/uni/leitung/organe/hochschulrat/
Mecklenburg-Vorpommern;Hochschule Neubrandenburg;Dipl.-Ing. Bernd Arnold;;Wilhelm Brandenburger GmbH u. Co. OHG;;https://www.hs-nb.de/start/hochschule/hsorgane/hsrat/
