Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;Neurodegenerationsforschung;Charcot-Stiftung;100000;500000;5 Jahre;;;
;;Neurophysiologie;Hertie-Stiftung;;1000000;8 Jahre;;;
;Universität Ulm;Strategische Unternehmensführung und Finanzierung;Kress, Ulm;200000;2000000;10 Jahre;;;
;;Hybride Quantensysteme;Carl Zeiss;200000;800000;4 Jahre;;Carl-Zeiss-Stiftung;
;;Multiskalenmodellierung in den computergestützten Materialwissenschaften;Dr. Barbara-Mez-Starck-Stiftung;100000;600000;6 Jahre;;;
;;Nachhaltiges Wissen, nachhaltige Bildung, nachhaltiges Wirtschaften;verschiedene Stifter;100000;1000000;10 Jahre;;;
;;Theoretische Quanteninformationsverarbeitung;Alexander von Humboldt Stiftung;700000;3500000;5 Jahre;;;
;;Elektronen- und Ionen-Mikroskopie;Carl Zeiss;150000;750000;5 Jahre;;Carl-Zeiss-Stiftung;
;FH Aalen;Direct Customer Relationship Management (Direktvertrieb);Berner Group;;770000;8 Jahre;;;
;;Existenzgründung, -sicherung und Betreibsübernahme, Aus- und Weiterbildungskonzepte für KMU;Kreissparkasse Ostalb und die Sparkassenstiftung Ostalb;;370000;5 Jahre;;;
;;Werkzeugmaschinen und spanende Fertigungstechnologie;Maschinenfabrik Alfing Kessler GmbH;;390000;5 Jahre;;;
;;;Gesenkschmiede Schneider GmbH;;;;;;
;;;MAPAL Präzisionswerkzeuge;;;;;;
;;;Kessler & Co.;;;;;;
;;;Leitz Werkzeugfabrik;;;;;;
;;"Studienschwerpunkt ""Automotive"" ; Lehrgebiet ""Konstruktion, Maschinenbau und Getriebetechnik""";Firma Voith Turbo GmbH;;770000;10 Jahre;;;
;;Gesundheitsökonomie und Management 1;Gmünder Ersatzkasse GEK;;670000;10 Jahre;;;
;;Gesundheitsökonomie und Management 2;Gmünder Ersatzkasse GEK;;670000;10 Jahre;;;
;;Gesundheit und Sozialwissenschaften;Gmünder Ersatzkasse GEK;;670000;10 Jahre;;;
;;Allgemeine Betriebswirtschaft im Gesundheitswesen;Gmünder Ersatzkasse GEK;;670000;10 Jahre;;;
;Hochschule Albstadt-Sigmaringen (FH);Steriltechnik;Firma Vetter-Pharma-Fertigung GmbH und Co. KG;;500000;5 Jahre;;;
;Hochschule Biberach;Biologie, Zell - und Molekularbiologie;Firma Rentschler;;1000000;10 Jahre;;;
;;;KSK Biberach;;;;;;
;;Biotechnologische Produktionsverfahren;Kreissparkasse Biberach;;500000;10 Jahre;;;
;Hochschule Esslingen (FH);Betriebswirtschaft, Informationstechniken, Qualitätsmanagement und Marketing in der Fahrzeugtechnik und im Fahrzeugservice;Daimler;;610000;10 Jahre;;Daimler Chrysler-Fonds;
;Hochschule Furtwangen;Digitale Infrastruktur im Ländlichen Raum;Deutsche Telekom;;480000;5 Jahre;;Stfiterbund von Dt. Telekom;
;;;Kabel BW;;;;;;
;;;Kellner Telekom;;;;;;
;;;Sparkasse Pforzheim Calw;;;;;;
;;;Fa. Weigandbau;;;;;;
;;;Regionalverband Schwarzwald-Baar-Hauberg;;;;;;
;;;Landesanstalt f. Komunikation;;;;;;
;;;MLR;;;;;;
;Hochschule Heilbronn;Sozialpsychologische Grundlagen des Softeware-Engineering;Gustav-Berger-Stiftung;;610000;10 Jahre;;;
;;;Sparkassenstiftung Heilbronn;;;;;;
;;;Verein der Freunde an der FH Heilbronn;;;;;;
;;Allgemeine Betriebswirtschaft,;Würth;;610000;10 Jahre;;Adolf-Würth GmbH;
;;Medienmanagement;Fritz Müller-Stiftung Ingelfingen;;610000;10 Jahre;;;
