Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;;;
;;2010;Sartorius AG;Geldleistung;Spende;32500;Forschung & Lehre Stiftungsprofessur;;;;
;;2010;Sartorius AG;Geldleistung;Spende;16250;Forschung & Lehre Stiftungsprofessur;;;;
;;2010;anonymisiert*;Sachleistung;Spende;14323,43;Forschung & Lehre Spritzgießmaschinen;;;;
;;2010;anonymisiert*;Geldleistung;Spende;5000;wissenschaftliche & kulturelle Veranstaltungen Kinder UNI, „Physiksommer“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;100000;Forschung & Lehre Juniorprofessur;;;;
;;2010;anonymisiert*;Sachleistung;Spende;2508;"Forschung & Lehre Lesestipendien (10 Abos ""Die Welt"")";;;;
;;2010;anonymisiert*;Sachleistung;Spende;998;"Forschung & Lehre Lesestipendien (2 Abos ""Handels- blatt"")";;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;3500;wissenschaftliche Veranstaltung „Projektseminar SR-Motor“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;670;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;3000;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;2000;wissenschaftliche Veranstaltung „Ilmenau Medien- preis IM@P 2011“;;;;
;;2010;anonymisiert*;Sachleistung;Spende;15913,01;Forschung & Lehre Schreibtisch;;;;
;;2010;anonymisiert*;Sachleistung;Spende;21941,2;Forschung & Lehre;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;892,5;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;1190;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;2380;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;1190;"kulturelle Veranstaltung ""Uniball""";;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;714;wissenschaftliche Veranstaltung „DGPUK“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;595;wissenschaftliche Veranstaltung;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;1190;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;595;"kulturelle Veranstaltung ""Uniball""";;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;595;wissenschaftliche Veranstaltung „DGPUK“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;2975;kulturelle Veranstaltung;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;1190;wissenschaftliche Veranstaltung „InnoForum Mikro- Nano Intgr.“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;880;wissenschaftliche Veranstaltung „InnoForum Mikro-Nano Intgr“.;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;2500;wissenschaftliche Veranstaltung „Physiksommer“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;4938,5;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;4522;"kulturelle Veranstaltung ""Uniball""";;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;595;wissenschaftliche Veranstaltung „DGPUK“;;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;595;"kulturelle Veranstaltung ""Uniball""";;;;
;;2010;anonymisiert*;steuerpflichtige Werbeleistung;Sponsoring;2380;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2011;anonymisiert*;Geldleistung;Spende;5000;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;500;Forschung & Lehre;;;;
;;2011;Sartorius AG;Geldleistung;Spende;16250;Forschung & Lehre Stiftungsprofessur;;;;
;;2011;anonymisiert*;Geldleistung;Spende;5000;wissenschaftliche Veranstaltung Ilmenauer Medienpreis Im@p;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1500;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;5000;Forschung & Lehre;;;;
;;2011;NH-HH-Recycling e.V., Stamsried;Geldleistung;Spende;35000;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;700;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;2250;Forschung & Lehre Stipendienzahlung für ausländische Studierende;;;;
;;2011;CE-LAB GmbH;Geldleistung;Spende;4500;Forschung & Lehre Stipendienzahlung für ausländische Studierende;;;;
;;2011;anonymisiert*;Sachleistung;Spende;796,77;Forschung & Lehre Fachbücher;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1000;"kulturelle Veranstaltung ""Uniball""";;;;
;;2011;anonymisiert*;Geldleistung;Spende;500;"kulturelle Veranstaltung ""Uniball""";;;;
;;2011;Regina und Günter Ramthor Stiftung, Apolda;Geldleistung;Spende;1000;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1000;"kulturelle Veranstaltung ""Uniball""";;;;
;;2011;anonymisiert*;Sachleistung;Spende;998;Forschung & Lehre Lesestipendien (2 Abos Handelsblatt);;;;
;;2011;anonymisiert*;Geldleistung;Spende;4000;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;650;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1200;"kulturelle Veranstaltung ""Uniball""";;;;
;;2011;Albin u. Aenne Witter Stiftung Weitramsdorf;Geldleistung;Spende;10000;Forschung & Lehre;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1500;wissenschaftliche Veranstaltung „Ilmenauer Medien preis Im@p“;;;;
;;2011;anonymisiert*;Geldleistung;Spende;80000;Forschung & Lehre Nachwuchsförder- programm „Postdoktorand“;;;;
;;2011;anonymisiert*;Geldleistung;Spende;49200;Forschung & Lehre Stipendienzahlung für Promovierende;;;;
;;2011;anonymisiert*;Geldleistung;Spende;34800;Forschung & Lehre Stipendienzahlung für Promovierende;;;;
;;2011;anonymisiert*;Geldleistung;Spende;80000;Forschung & Lehre Stipendienzahlung für Promovierende;;;;
;;2011;anonymisiert*;Geldleistung;Spende;250000;Forschung & Lehre;;;;
;;2011;MAZeT GmbH;Geldleistung;Spende;1800;Forschung & Lehre Stipendienzahlung;;;;
